epoch,graph_loss,lr-Adam,step,test_loss,test_mae,test_mape,test_mse,train_baseline_loss,train_loss,train_mae,train_mape,train_mse,val_loss,val_mae,val_mape,val_mse
,,0.001,0,,,,,,,,,,,,,
0,,,39,,,,,,,,,,65.1146469116211,65.3143310546875,1.7732059955596924,7641.36962890625
0,0.17974206805229187,,39,,,,,69.61320495605469,69.60670471191406,69.56281280517578,2.1436350345611572,8540.044921875,,,,
,,0.001,40,,,,,,,,,,,,,
1,,,79,,,,,,,,,,55.536163330078125,55.6755485534668,1.2014455795288086,5925.88720703125
1,1.8344252109527588,,79,,,,,54.70806121826172,54.66461944580078,54.65868377685547,1.2771507501602173,5533.8935546875,,,,
,,0.001,80,,,,,,,,,,,,,
2,,,119,,,,,,,,,,50.15073013305664,50.26747131347656,1.0433833599090576,4899.27978515625
2,-1.4060096740722656,,119,,,,,51.59246826171875,51.6215934753418,51.62279510498047,1.106493592262268,5055.853515625,,,,
,,0.001,120,,,,,,,,,,,,,
3,,,159,,,,,,,,,,47.90005111694336,48.012630462646484,0.9422473907470703,4570.9794921875
3,0.4046580195426941,,159,,,,,49.36127471923828,49.34773254394531,49.33088684082031,0.9986178874969482,4724.35546875,,,,
,,0.001,160,,,,,,,,,,,,,
4,,,199,,,,,,,,,,45.92345428466797,46.028499603271484,0.8591635823249817,4270.5341796875
4,0.9778730273246765,,199,,,,,47.64728546142578,47.62074279785156,47.614158630371094,0.9533626437187195,4471.86328125,,,,
,,0.001,200,,,,,,,,,,,,,
5,,,239,,,,,,,,,,44.67369842529297,44.779354095458984,0.8322475552558899,4081.355712890625
5,0.8157258033752441,,239,,,,,46.36920928955078,46.34497833251953,46.318145751953125,0.9191728830337524,4314.01416015625,,,,
,,0.001,240,,,,,,,,,,,,,
6,,,279,,,,,,,,,,42.56563186645508,42.66304016113281,0.7933892011642456,3743.02392578125
6,0.610576331615448,,279,,,,,45.67033004760742,45.64853286743164,45.64248275756836,0.8914682269096375,4221.01171875,,,,
,,0.001,280,,,,,,,,,,,,,
7,,,319,,,,,,,,,,41.333763122558594,41.42864990234375,0.7617610692977905,3581.552001953125
7,1.7416555881500244,,319,,,,,44.53302001953125,44.484214782714844,44.454830169677734,0.8695743083953857,4103.39013671875,,,,
,,0.001,320,,,,,,,,,,,,,
8,,,359,,,,,,,,,,40.48168182373047,40.5924072265625,0.7059609293937683,3528.013916015625
8,-0.06842372566461563,,359,,,,,43.677974700927734,43.666656494140625,43.65177536010742,0.8628042936325073,4003.81689453125,,,,
,,0.001,360,,,,,,,,,,,,,
9,,,399,,,,,,,,,,38.560054779052734,38.66334533691406,0.669482946395874,3316.003662109375
9,0.3122592568397522,,399,,,,,42.30203628540039,42.28470230102539,42.27436447143555,0.8285174369812012,3900.9521484375,,,,
,,0.001,400,,,,,,,,,,,,,
10,,,439,,,,,,,,,,36.79884338378906,36.899166107177734,0.697517991065979,3073.762939453125
10,-0.4448855519294739,,439,,,,,40.86163330078125,40.86117172241211,40.83082580566406,0.8055787086486816,3747.466064453125,,,,
,,0.001,440,,,,,,,,,,,,,
11,,,479,,,,,,,,,,34.357486724853516,34.45634841918945,0.5993586778640747,2867.595703125
11,0.7928228378295898,,479,,,,,39.01913070678711,38.982276916503906,38.96763229370117,0.7824093699455261,3599.35693359375,,,,
,,0.001,480,,,,,,,,,,,,,
12,,,519,,,,,,,,,,32.324581146240234,32.42353820800781,0.5691999793052673,2674.197021484375
12,-1.0827605724334717,,519,,,,,37.180877685546875,37.190399169921875,37.19727325439453,0.751822829246521,3438.02685546875,,,,
,,0.001,520,,,,,,,,,,,,,
13,,,559,,,,,,,,,,30.21180534362793,30.31253433227539,0.537956714630127,2495.5390625
13,-1.421492099761963,,559,,,,,35.55994415283203,35.57205581665039,35.57769012451172,0.7236150503158569,3280.607666015625,,,,
,,0.001,560,,,,,,,,,,,,,
14,,,599,,,,,,,,,,28.745458602905273,28.843692779541016,0.5010972023010254,2380.966552734375
14,-0.5173717737197876,,599,,,,,34.16609191894531,34.15908432006836,34.16325378417969,0.7224966287612915,3124.34130859375,,,,
,,0.001,600,,,,,,,,,,,,,
15,,,639,,,,,,,,,,27.702302932739258,27.806655883789062,0.4866145849227905,2316.710205078125
15,-1.0920894145965576,,639,,,,,32.52226257324219,32.53014373779297,32.54018783569336,0.685547947883606,2954.347900390625,,,,
,,0.001,640,,,,,,,,,,,,,
16,,,679,,,,,,,,,,25.879806518554688,25.98052978515625,0.4887150526046753,2181.32958984375
16,-0.324783056974411,,679,,,,,31.02130699157715,31.01095962524414,31.0070858001709,0.6590530276298523,2807.814453125,,,,
,,0.001,680,,,,,,,,,,,,,
17,,,719,,,,,,,,,,25.768585205078125,25.871294021606445,0.47734296321868896,2180.83544921875
17,0.31013619899749756,,719,,,,,29.47671127319336,29.454330444335938,29.427034378051758,0.6334133148193359,2669.5166015625,,,,
,,0.001,720,,,,,,,,,,,,,
18,,,759,,,,,,,,,,24.164127349853516,24.25885581970215,0.45714688301086426,2072.450439453125
18,-0.4813759922981262,,759,,,,,28.566720962524414,28.565593719482422,28.56400489807129,0.6188247799873352,2575.03857421875,,,,
,,0.001,760,,,,,,,,,,,,,
19,,,799,,,,,,,,,,24.29087257385254,24.385480880737305,0.47267040610313416,2061.92822265625
19,0.4769859313964844,,799,,,,,27.164562225341797,27.143802642822266,27.131187438964844,0.5893884897232056,2444.455810546875,,,,
,,0.001,800,,,,,,,,,,,,,
20,,,839,,,,,,,,,,24.915935516357422,25.01526641845703,0.47810855507850647,2112.423583984375
20,-0.4508787989616394,,839,,,,,27.222469329833984,27.224395751953125,27.219419479370117,0.589442789554596,2441.205810546875,,,,
,,0.001,840,,,,,,,,,,,,,
