epoch,graph_loss,lr-Adam,step,test_loss,test_mae,test_mape,test_mse,train_baseline_loss,train_loss,train_mae,train_mape,train_mse,val_loss,val_mae,val_mape,val_mse
,,0.05,0,,,,,,,,,,,,,
0,,,167,,,,,,,,,,0.5058559775352478,0.5058560371398926,2.2330543994903564,0.5811805129051208
0,-0.14204823970794678,,167,,,,,0.6614031791687012,0.6620399951934814,0.6620399355888367,2.716771125793457,0.9546053409576416,,,,
,,0.05,168,,,,,,,,,,,,,
1,,,335,,,,,,,,,,0.46204179525375366,0.46204179525375366,2.2253050804138184,0.472744882106781
1,-0.13235676288604736,,335,,,,,0.5066990852355957,0.5077859163284302,0.5077860355377197,2.5435702800750732,0.5811939239501953,,,,
,,0.05,336,,,,,,,,,,,,,
2,,,503,,,,,,,,,,0.35544368624687195,0.3554436266422272,1.901736855506897,0.2283632904291153
2,-0.13287468254566193,,503,,,,,0.4460288882255554,0.44533610343933105,0.4453362226486206,2.419771194458008,0.4307970404624939,,,,
,,0.05,504,,,,,,,,,,,,,
3,,,671,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
3,-0.157117560505867,,671,,,,,0.38310331106185913,0.383327841758728,0.383327841758728,1.857602596282959,0.2901301681995392,,,,
,,0.05,672,,,,,,,,,,,,,
4,,,839,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
4,-0.1304721236228943,,839,,,,,0.3512459695339203,0.35158371925354004,0.3515837788581848,1.7446242570877075,0.2233559936285019,,,,
,,0.05,840,,,,,,,,,,,,,
5,,,1007,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
5,-0.09703269600868225,,1007,,,,,0.34137091040611267,0.3412172794342041,0.3412172496318817,1.7164796590805054,0.2015819400548935,,,,
,,0.05,1008,,,,,,,,,,,,,
6,,,1175,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
6,-0.0769071951508522,,1175,,,,,0.33666715025901794,0.33621373772621155,0.33621376752853394,2.0106992721557617,0.19129900634288788,,,,
,,0.05,1176,,,,,,,,,,,,,
7,,,1343,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
7,-0.06653419882059097,,1343,,,,,0.33378931879997253,0.3336470127105713,0.33364707231521606,1.6772550344467163,0.18603618443012238,,,,
,,0.05,1344,,,,,,,,,,,,,
8,,,1511,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
8,-0.05802242457866669,,1511,,,,,0.33221885561943054,0.3320448398590088,0.332044780254364,1.6539663076400757,0.18297459185123444,,,,
,,0.05,1512,,,,,,,,,,,,,
9,,,1679,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
9,-0.051887404173612595,,1679,,,,,0.3308646082878113,0.3307965099811554,0.33079639077186584,1.669106125831604,0.1801125705242157,,,,
,,0.05,1680,,,,,,,,,,,,,
10,,,1847,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
10,-0.04853740334510803,,1847,,,,,0.3299952745437622,0.3301897943019867,0.33018994331359863,1.749052882194519,0.17902407050132751,,,,
,,0.05,1848,,,,,,,,,,,,,
11,,,2015,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
11,-0.043432071805000305,,2015,,,,,0.32940030097961426,0.3291918933391571,0.3291919231414795,1.6599467992782593,0.1770801544189453,,,,
,,0.05,2016,,,,,,,,,,,,,
12,,,2183,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
12,-0.03988933935761452,,2183,,,,,0.32872816920280457,0.32865625619888306,0.3286561965942383,1.661527156829834,0.17576630413532257,,,,
,,0.05,2184,,,,,,,,,,,,,
13,,,2351,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
13,-0.038604434579610825,,2351,,,,,0.3281717896461487,0.32830047607421875,0.32830044627189636,1.6622933149337769,0.17520830035209656,,,,
,,0.05,2352,,,,,,,,,,,,,
14,,,2519,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
14,-0.036639999598264694,,2519,,,,,0.3280789256095886,0.3280670940876007,0.3280670642852783,2.0504651069641113,0.17467275261878967,,,,
,,0.05,2520,,,,,,,,,,,,,
15,,,2687,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
15,-0.03550814837217331,,2687,,,,,0.3275473117828369,0.32776957750320435,0.3277694582939148,1.6563429832458496,0.1741211712360382,,,,
,,0.05,2688,,,,,,,,,,,,,
16,,,2855,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
16,-0.03389664739370346,,2855,,,,,0.3273555338382721,0.32749414443969727,0.3274939954280853,1.669527530670166,0.1737108677625656,,,,
,,0.05,2856,,,,,,,,,,,,,
17,,,3023,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
17,-0.030032867565751076,,3023,,,,,0.32691991329193115,0.3269662857055664,0.32696622610092163,1.6567621231079102,0.17244639992713928,,,,
,,0.05,3024,,,,,,,,,,,,,
18,,,3191,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
18,-0.028901616111397743,,3191,,,,,0.3267907500267029,0.326713502407074,0.32671359181404114,1.662874698638916,0.17203012108802795,,,,
,,0.05,3192,,,,,,,,,,,,,
19,,,3359,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
19,-0.030797520652413368,,3359,,,,,0.3265041410923004,0.3268928527832031,0.32689282298088074,1.6568138599395752,0.17226527631282806,,,,
,,0.05,3360,,,,,,,,,,,,,
20,,,3527,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
20,-0.02758266218006611,,3527,,,,,0.32647088170051575,0.326490193605423,0.32649022340774536,1.6271288394927979,0.17150849103927612,,,,
,,0.05,3528,,,,,,,,,,,,,
21,,,3695,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
21,-0.02629251964390278,,3695,,,,,0.32644641399383545,0.32638001441955566,0.3263799250125885,1.6648885011672974,0.17117662727832794,,,,
,,0.05,3696,,,,,,,,,,,,,
22,,,3863,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
22,-0.02529056929051876,,3863,,,,,0.3261946141719818,0.3262763023376465,0.3262763023376465,1.6545716524124146,0.17094293236732483,,,,
,,0.05,3864,,,,,,,,,,,,,
23,,,4031,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
